Customer ID,Gender,Age,Married,Number of Dependents,City,Zip Code,Latitude,Longitude,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Customer Status,Churn Category,Churn Reason
CUST-00000,Male,52,No,0,Oakland,93483,38.02002,-116.054231,6,44,Offer E,Yes,37.07,Yes,Yes,Fiber Optic,189.7,No,No,Yes,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,36.79,1540.4,0.0,0,1733.23,3273.63,Churned,Price,Product dissatisfaction
CUST-00001,Female,68,Yes,1,Bakersfield,95332,41.169002,-118.157466,3,46,Offer A,Yes,37.58,Yes,Yes,Cable,175.6,No,Yes,,Yes,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,62.67,2736.47,0.0,0,1781.63,4518.1,Stayed,,
CUST-00002,Male,54,Yes,0,Long Beach,93710,32.635179,-117.649492,7,1,Offer D,Yes,,Yes,Yes,Fiber Optic,119.4,Yes,No,No,Yes,Yes,No,Yes,Yes,One Year,No,Bank Withdrawal,24.39,25.33,0.0,0,18.4,43.73,Joined,,
CUST-00003,Male,74,No,1,Sacramento,93441,40.047471,-122.968408,2,44,Offer C,Yes,23.32,Yes,Yes,DSL,70.9,No,Yes,No,No,Yes,Yes,Yes,No,Two Year,No,Credit Card,62.4,2455.92,0.0,0,939.45,3395.37,Stayed,,
CUST-00004,Male,25,Yes,0,San Francisco,90742,40.609225,-119.610256,11,46,Offer B,Yes,42.84,No,Yes,DSL,106.9,No,No,No,No,No,Yes,Yes,No,Month-to-Month,No,Mailed Check,38.55,1667.96,0.0,0,1778.35,3446.31,Churned,Competitor,Price too high
CUST-00005,Female,37,No,2,Riverside,93240,38.494441,-121.369624,4,72,Offer E,Yes,10.42,No,Yes,Fiber Optic,155.4,No,Yes,No,Yes,Yes,Yes,No,Yes,One Year,No,Bank Withdrawal,72.77,4918.57,0.0,20,688.12,5626.69,Stayed,,
CUST-00006,Male,70,No,0,Bakersfield,92922,41.373579,-120.007505,2,53,Offer E,Yes,,Yes,No,None,0.0,No,No,No,,No,No,No,No,Month-to-Month,No,Credit Card,115.92,6221.84,0.0,0,2370.23,8592.07,Stayed,,
CUST-00007,Male,29,Yes,0,Los Angeles,91832,38.104173,-117.612633,6,33,Offer D,Yes,20.96,Yes,Yes,Fiber Optic,142.1,No,No,Yes,Yes,No,Yes,No,Yes,One Year,No,Credit Card,52.29,1625.72,0.0,0,634.51,2260.23,Stayed,,
CUST-00008,Male,66,No,0,Anaheim,94139,34.785101,-122.948829,2,45,None,Yes,13.77,Yes,Yes,Cable,179.7,No,No,No,Yes,Yes,No,No,Yes,Two Year,Yes,Credit Card,64.23,2694.17,0.0,20,628.3,3342.47,Stayed,,
CUST-00009,Female,34,No,0,Bakersfield,95562,34.549314,-124.31929,9,64,None,Yes,0.13,No,Yes,Fiber Optic,46.0,,Yes,No,No,No,No,No,No,Two Year,No,Mailed Check,82.08,5437.81,0.0,10,7.6,5455.41,Stayed,,
CUST-00010,Male,81,No,0,San Diego,95635,37.780445,-120.371986,4,3,Offer E,Yes,6.25,No,Yes,Fiber Optic,163.2,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,81.29,244.36,0.0,20,18.09,282.45,Churned,Attitude,Price too high
CUST-00011,Male,59,No,1,Riverside,90911,41.111597,-121.149283,0,24,Offer A,Yes,37.83,No,Yes,DSL,178.7,Yes,No,Yes,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,68.56,1647.03,0.0,0,977.36,2624.39,Churned,Dissatisfaction,Competitor had better devices
CUST-00012,Male,46,Yes,0,Sacramento,94013,33.187495,-120.127507,3,31,Offer D,Yes,32.46,No,Yes,Fiber Optic,18.1,No,No,Yes,Yes,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,40.08,1099.34,7.07,0,1097.24,2189.51,Stayed,,
CUST-00013,Male,36,No,0,Riverside,94703,38.24171,-114.815302,5,71,Offer C,Yes,,Yes,Yes,Fiber Optic,191.8,No,Yes,No,No,Yes,No,No,No,Month-to-Month,Yes,Mailed Check,76.65,5143.85,0.0,30,912.66,6086.51,Stayed,,
CUST-00014,Female,28,Yes,0,Sacramento,91419,39.813133,-117.146325,1,40,Offer C,Yes,46.35,,Yes,DSL,102.9,No,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,72.04,2536.25,0.0,0,1960.44,4496.69,Stayed,,
CUST-00015,Male,67,Yes,0,San Francisco,95799,33.59632,-121.094429,5,50,None,Yes,41.78,Yes,No,None,,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,55.95,2436.81,0.0,0,2132.59,4569.4,Stayed,,
CUST-00016,Female,75,Yes,0,Riverside,94815,33.609312,-122.6355,9,15,Offer A,Yes,13.46,Yes,Yes,DSL,122.5,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,38.21,552.35,0.0,0,219.5,771.85,Churned,Dissatisfaction,Network reliability
CUST-00017,Female,51,Yes,1,Fresno,94310,35.978216,-118.067826,6,21,Offer D,Yes,16.5,No,Yes,Fiber Optic,46.7,No,Yes,No,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,43.69,909.56,0.0,0,351.41,1260.97,Churned,Dissatisfaction,Product dissatisfaction
CUST-00018,Female,37,Yes,0,San Diego,94039,35.101871,-117.661207,7,21,Offer B,Yes,9.24,Yes,Yes,DSL,,No,No,No,Yes,No,,No,No,Month-to-Month,Yes,Mailed Check,36.79,760.91,0.0,0,202.08,962.99,Churned,Competitor,Network reliability
CUST-00019,Male,67,No,1,Los Angeles,93640,34.383985,-119.470324,2,60,Offer C,Yes,32.13,No,No,None,0.0,No,No,No,,,No,No,No,Month-to-Month,Yes,Mailed Check,92.72,5803.93,35.85,10,1916.79,7694.87,Churned,Dissatisfaction,Product dissatisfaction
CUST-00020,Female,27,No,1,San Francisco,93446,34.387595,-122.287288,11,65,Offer C,Yes,35.06,No,No,None,0.0,,No,No,,No,No,No,No,Month-to-Month,No,Credit Card,109.02,6957.75,0.0,0,2144.83,9102.58,Stayed,,
CUST-00021,Male,49,Yes,1,Oakland,90132,33.741356,-124.203025,9,21,None,Yes,19.79,No,Yes,DSL,54.8,Yes,No,No,No,No,No,Yes,Yes,One Year,No,Credit Card,71.24,1476.58,0.0,20,433.44,1930.02,Stayed,,
CUST-00022,Female,69,No,0,Los Angeles,92057,38.303113,-121.737129,10,55,None,Yes,36.86,Yes,Yes,DSL,183.4,Yes,Yes,Yes,Yes,No,Yes,No,No,Month-to-Month,Yes,Credit Card,101.54,5697.81,0.0,0,1920.33,7618.14,Churned,Dissatisfaction,Service attitude
CUST-00023,Female,32,No,0,San Francisco,95863,39.037193,-119.745427,2,69,Offer C,Yes,49.58,Yes,Yes,Fiber Optic,,,No,Yes,No,Yes,No,Yes,Yes,Two Year,No,Bank Withdrawal,75.3,5364.1,0.0,0,3161.41,8525.51,Stayed,,
CUST-00024,Female,20,Yes,0,Riverside,90153,39.177894,-116.305483,4,26,None,Yes,30.6,Yes,Yes,DSL,127.6,No,No,Yes,No,No,Yes,No,Yes,Month-to-Month,No,Credit Card,54.19,1330.57,0.0,0,851.32,2181.89,Churned,Dissatisfaction,Price too high
CUST-00025,Female,54,Yes,3,Oakland,92479,37.557363,-115.62096,2,55,Offer A,Yes,32.46,No,Yes,Fiber Optic,171.8,No,No,No,No,Yes,No,No,No,Month-to-Month,No,Bank Withdrawal,35.8,1858.34,0.0,0,1773.92,3632.26,Stayed,,
CUST-00026,Female,57,No,0,Los Angeles,90483,41.55261,-120.205481,8,46,Offer E,Yes,18.69,Yes,Yes,Fiber Optic,144.8,,Yes,No,No,No,No,Yes,Yes,One Year,No,Bank Withdrawal,117.48,5392.36,0.0,0,817.73,6210.09,Stayed,,
CUST-00027,Female,57,No,0,Oakland,96117,40.865061,-116.22031,6,62,Offer B,Yes,0.53,Yes,Yes,Cable,67.7,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Credit Card,115.17,7225.43,0.0,0,33.59,7259.02,Churned,Dissatisfaction,Price too high
CUST-00028,Female,73,No,1,Bakersfield,90305,41.597496,-114.169131,4,70,Offer E,Yes,47.7,No,Yes,Cable,9.0,No,No,Yes,Yes,No,Yes,No,Yes,Two Year,No,Credit Card,35.09,2285.09,0.0,20,3612.67,5917.76,Stayed,,
CUST-00029,Female,40,No,0,San Francisco,92520,36.193557,-117.047252,4,54,Offer A,Yes,38.62,Yes,No,None,0.0,No,,No,No,No,,No,No,Two Year,Yes,Credit Card,95.13,4582.99,0.0,0,1988.9,6571.89,Stayed,,
CUST-00030,Male,28,Yes,0,Sacramento,96113,40.83894,-116.92257,0,4,Offer B,Yes,34.78,Yes,Yes,Fiber Optic,53.5,No,No,Yes,Yes,,No,Yes,No,One Year,Yes,Credit Card,101.75,372.64,0.0,0,150.31,522.95,Churned,Other,Network reliability
CUST-00031,Male,81,Yes,0,Oakland,90993,39.74731,-115.04082,8,45,None,No,1.49,Yes,No,None,0.0,No,No,No,No,No,No,No,No,Two Year,Yes,Bank Withdrawal,103.42,4783.31,0.0,10,64.93,4858.24,Stayed,,
CUST-00032,Female,25,No,0,Los Angeles,92238,35.729743,-120.983301,1,54,None,Yes,37.95,Yes,Yes,DSL,94.4,Yes,No,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Mailed Check,84.41,4283.68,0.0,0,1950.97,6234.65,Churned,Attitude,Service attitude
CUST-00033,Female,73,Yes,0,Long Beach,95648,33.512636,-124.383464,6,53,Offer E,Yes,33.5,No,Yes,Cable,173.8,No,,Yes,No,No,No,No,No,Two Year,Yes,Credit Card,86.31,4364.83,0.0,0,1622.88,5987.71,Joined,,
CUST-00034,Female,77,No,3,Fresno,92560,38.984902,-114.235436,6,44,None,Yes,28.45,No,Yes,DSL,154.5,No,Yes,No,Yes,Yes,,No,No,Month-to-Month,No,Credit Card,48.9,2148.9,0.0,0,1339.97,3488.87,Stayed,,
CUST-00035,Male,27,No,1,Long Beach,94439,33.796297,-119.399132,1,36,None,Yes,31.18,Yes,Yes,DSL,43.2,No,Yes,Yes,,No,Yes,No,Yes,Month-to-Month,Yes,Credit Card,95.53,2931.63,0.0,0,1059.91,3991.54,Stayed,,
CUST-00036,Female,56,No,1,Bakersfield,90715,35.29087,-116.328953,7,34,Offer D,Yes,45.92,No,No,None,0.0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,59.94,2072.38,0.0,0,1486.54,3558.92,Stayed,,
CUST-00037,Male,45,No,0,Los Angeles,91710,37.253463,-116.050092,7,52,Offer D,No,0.33,No,Yes,,118.8,No,Yes,Yes,,No,No,Yes,Yes,Two Year,Yes,Bank Withdrawal,97.03,5127.49,0.0,0,18.13,5145.62,Churned,Price,Service attitude
CUST-00038,Male,66,Yes,0,San Diego,91058,38.958884,-120.365827,8,6,Offer E,Yes,,Yes,Yes,DSL,115.3,No,Yes,Yes,Yes,No,No,Yes,Yes,Month-to-Month,Yes,Mailed Check,78.13,478.66,0.0,10,50.7,539.36,Joined,,
CUST-00039,Male,53,No,0,Anaheim,90471,41.299163,-118.87076,1,38,None,Yes,44.74,No,Yes,Cable,111.4,No,No,Yes,Yes,Yes,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,71.25,2719.72,0.0,10,1847.76,4577.48,Churned,Competitor,Service attitude
CUST-00040,Male,30,No,0,Bakersfield,93466,38.13578,-118.884879,0,33,None,Yes,0.41,No,No,,0.0,No,No,No,No,No,No,,No,One Year,Yes,Mailed Check,77.44,2214.24,0.0,0,13.95,2228.19,Stayed,,
CUST-00041,Male,53,No,0,Sacramento,90741,38.878424,-122.209754,8,55,Offer A,No,45.18,Yes,Yes,Cable,140.1,No,No,Yes,No,No,No,Yes,Yes,One Year,No,Bank Withdrawal,107.91,5993.96,0.0,0,2678.98,8672.94,Stayed,,
CUST-00042,Female,43,No,0,Riverside,93567,35.445132,-123.276555,2,23,Offer B,Yes,1.48,No,Yes,Cable,23.9,No,No,No,Yes,No,,No,Yes,Month-to-Month,Yes,Mailed Check,36.08,824.25,48.53,30,33.46,839.18,Stayed,,
CUST-00043,Female,21,Yes,0,Anaheim,90513,39.02928,-118.846848,9,44,None,Yes,38.97,No,No,None,,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,109.2,4880.03,0.0,10,1839.33,6729.36,Stayed,,
CUST-00044,Female,81,No,0,Oakland,93394,36.659006,-123.25051,1,28,None,Yes,44.55,Yes,Yes,Cable,95.3,Yes,No,No,No,No,,No,No,Two Year,No,Credit Card,73.69,1797.29,0.0,0,1344.71,3142.0,Stayed,,
CUST-00045,Female,55,No,3,San Francisco,95235,40.640846,-120.900677,9,64,Offer C,Yes,30.63,No,No,None,0.0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,65.5,4027.23,0.0,0,2001.27,6028.5,Stayed,,
CUST-00046,Female,39,Yes,0,Los Angeles,93286,36.22828,-122.564733,1,48,Offer C,Yes,32.07,No,Yes,Cable,164.8,No,Yes,Yes,No,No,Yes,Yes,Yes,Two Year,No,Credit Card,59.31,2770.5,0.0,0,1515.51,4286.01,Stayed,,
CUST-00047,Male,19,No,0,Los Angeles,93838,36.948584,-117.148072,1,59,None,Yes,2.53,No,Yes,Cable,46.6,No,Yes,Yes,No,Yes,No,No,No,Month-to-Month,Yes,Credit Card,97.81,5287.91,0.0,0,136.72,5424.63,Churned,Competitor,Competitor had better devices
CUST-00048,Female,48,No,0,San Diego,92193,36.609584,-115.431108,7,59,Offer E,Yes,10.54,No,No,None,0.0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,26.96,1655.84,0.0,20,671.43,2347.27,Stayed,,
CUST-00049,Female,28,No,0,Riverside,94655,40.205667,-118.489688,2,43,None,Yes,44.97,No,Yes,Fiber Optic,172.6,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,86.02,3826.63,0.0,0,2070.47,5897.1,Churned,Competitor,Service attitude
CUST-00050,Male,63,Yes,0,San Francisco,94888,41.560142,-120.23438,0,43,Offer D,No,41.19,No,Yes,Cable,148.6,No,No,No,Yes,No,No,Yes,No,Two Year,Yes,Bank Withdrawal,114.47,4271.03,0.0,0,1737.21,6008.24,Stayed,,
